1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,1354,,,,,,,,,,,,,,,,,,,,,1542,1839
,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,1571,1893
,,,,,,,,,,,,,,,,,1401,,,,,,,,,,,,,,,,,,,,,1582,1904
,,,,,,,,,,,,,,,,,1440,,,,,,,,,,,,,,,,,,,,,1606,1958
,,,,,,,,,,,,,,,,,1440,,,,,,,,,,,,,,,,,,,,,,1970
,,,,,,,,,,,,,,,,,1492,,,,,,,,,,,,,,,,,,,,,,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283
